"AROKATO";"nom";"idreg";"pays";"lat";"long";"Est-ouest";"Capitale";"hydrocarbures";"date creation";"typharris1963";"NMonopoleSnyder";"1959y";"1970y";"1979y";"1989y";"2002y";"2010y";
"AR07415";"kislovodsk";"RUS62";"Russie";43,91666667;42,71666667;"O";0;1;;"5A";;78;89.6;100.9;114.4;129.788;128.502;
"AES01143";"Tartu";"EST00";"Estonie";58,38333333;26,71666667;"O";0;0;;"6A";;74.263;90.459;104.518;113.977;101.14;103.284;
"AR65409";"asbest";"RUS63";"Russie";57;61,46666667;"E";0;1;;"3C";;60.1;91.281;102.933;114.302;104.417;94.96;
"AR44401";"Magadan";"RUS37";"Russie";59,56666667;150,8;"E";1;0;;"1B4";;62.2;92.1;121.3;151.7;99.399;95.925;
"ALE01134";"Liepija";"LET00";"Lettonie";56,52;21,02;"O";0;1;;"3A2";;71.464;92.884;107.663;114.462;87.505;84.074;
"ALI06110";"siauliai";"LIT00";"Lithuanie";55,93;23,32;"O";1;0;;"2A";;59.722;93.057;118.216;145.056;132.907;125.453;
"AR04420";"kansk";"RUS34";"Russie";56,2;95,7;"E";0;0;;"3A2";;82.7;94.7;100.6;109.6;103;94.23;
"AUA04116";"Pavlograd";"UKR05";"Ukraine";48,52;35,87;"O";0;0;;;;45.827;95.276;129.562;164.942;147.107;140.034;
"AKA09103";"Zhezkazgan";"KAZ09";"Kazakhstan";47,78;67,77;"E";0;0;;;;43.918;95.357;138.268;167.538;150.388;146.332;
"AKA10105";"Roudnyi";"KAZ10";"Kazakhstan";52,96;63,12;"E";0;1;;;;36.639;96.041;109.707;124.3;106.475;109.659;
"ATU05103";"Turkmenabat / Tchardjou";"TUR00";"Turkmenistan";39,1;63,58;"E";1;1;;"1B4";;66.112;96.383;140.182;167.394;298.979;427.252;
"AUA03107";"Loutsk";"UKR04";"Ukraine";50,75;25,33;"O";1;0;;"1B4";;57.305;96.493;141.07;197.724;207.511;210.775;
"AR04403";"achinsk";"RUS34";"Russie";56,26666667;90,5;"E";0;0;;"2A";;50.3;97;116.9;121.6;118.744;109.156;
"AR94440";"sarapul";"RUS49";"Russie";56,46666667;53,8;"E";0;1;;"3A2";;68.7;97;106.6;110.4;103.141;101.39;
"AR25445";"cheremhovo";"RUS17";"Russie";53,15;103,0666667;"E";0;0;;"3B1";;122.8;98.7;76.7;73.6;60.107;52.65;
"AR46253501";"stupino";"RUS40";"Russie";54,9;38,06666667;"O";0;0;;;;71.887;98.8;113.8;118.6;104.022;108.822;
"AUA08101";"Berdyansk";"UKR09";"Ukraine";46,75;36,79;"O";0;0;;"3A2";;65.249;100.133;122.109;132.644;121.183;117.517;
"ALE01117";"Daugavpils";"LET00";"Lettonie";55,88;26,53;"O";0;0;;"2A";;65.459;100.431;115.731;126.68;113.409;103.922;
"AGE02101";"Batoumi";"GEO00";"Georgie";41,64;41,63;"O";1;0;;"1B3";;82.328;100.603;122.815;136.609;121.806;123.5;
"AR42415";"elec";"RUS36";"Russie";52,61666667;38,51666667;"O";0;0;;"3A2";;77.9;100.7;111.7;120.3;116.726;108.404;
"AMO01102";"Balti";"MOL00";"Moldavie";47,76;27,93;"O";0;0;;;;67.114;101.447;125.33;158.517;126.935;122.9;
